rank	node_id	label	out_degree
1094	4721790	null	2904
1095	80811839	null	2901
1096	57434221	null	2898
1097	59309084	null	2898
1098	21553450	null	2895
1099	58222883	null	2883
1100	112034687	null	2883
1101	17215168	null	2880
1102	9544700	null	2878
1103	8457090	null	2877
1104	21594790	null	2870
1105	24464090	null	2870
1106	63840577	null	2867
1107	20846109	null	2866
1108	23085882	null	2856
1109	88356657	null	2856
1110	19352826	null	2853
1111	75578207	null	2853
1112	5513905	PinballCoin.com	2852
1113	70072739	null	2851
1114	80820179	null	2850
1115	9279507	CloudHashing.com	2848
1116	17923688	null	2847
1117	29508266	null	2846
1118	2134647	null	2843
1119	128060811	null	2843
1120	87402319	null	2842
1121	78728732	null	2841
1122	22191885	null	2837
1123	68069681	null	2837
1124	98331139	null	2835
1125	82836689	null	2829
1126	6152165	null	2827
1127	21634083	null	2827
1128	52906146	null	2817
1129	36678256	null	2815
1130	81949049	null	2815
1131	53612883	null	2807
1132	14498165	null	2802
1133	14330661	null	2795
1134	48918763	null	2795
1135	112810547	null	2794
1136	59884785	null	2788
1137	87895666	null	2787
1138	41332016	null	2779
1139	41171258	null	2777
1140	97221213	null	2763
1141	96558664	null	2754
1142	82412702	null	2747
1143	68666837	null	2745
1144	22384271	null	2742
1145	33693763	null	2738
1146	2253190	null	2736
1147	24535208	null	2736
1148	36472591	null	2732
1149	16189321	null	2730
1150	4088090	null	2726
1151	53166645	null	2722
1152	195585	null	2717
1153	49601072	null	2715
1154	55966074	null	2715
1155	87612629	null	2715
1156	4306662	null	2712
1157	110951638	null	2711
1158	4021594	null	2704
1159	52281550	null	2702
1160	84358479	null	2702
1161	113882547	null	2699
1162	48854462	null	2695
1163	12671004	null	2694
1164	93402558	null	2691
1165	97540459	null	2690
